sentmt_bos-eng: 61500	 acc: --	 ppl: 18.27	 xent: 2.91	   5.15 TFLOP/s	 11337/11275 tok/s	 31488080 sents	  65789 sec	
sentmt_bos-eng: 62000	 acc: --	 ppl: 18.35	 xent: 2.91	   5.16 TFLOP/s	 11345/11278 tok/s	 31744072 sents	  66279 sec	
sentmt_bos-eng: 62500	 acc: --	 ppl: 18.57	 xent: 2.92	   5.06 TFLOP/s	 11130/11084 tok/s	 32000084 sents	  66770 sec	
sentmt_bos-eng: 63000	 acc: --	 ppl: 18.46	 xent: 2.92	   3.51 TFLOP/s	 7721/7675 tok/s	 32256104 sents	  67484 sec	
sentmt_bos-eng: 63500	 acc: --	 ppl: 18.19	 xent: 2.90	   5.15 TFLOP/s	 11340/11269 tok/s	 32512112 sents	  67974 sec	
sentmt_bos-eng: 64000	 acc: --	 ppl: 18.34	 xent: 2.91	   5.11 TFLOP/s	 11234/11162 tok/s	 32768104 sents	  68467 sec	
sentmt_bos-eng: 64500	 acc: --	 ppl: 18.32	 xent: 2.91	   5.15 TFLOP/s	 11314/11270 tok/s	 33024084 sents	  68959 sec	
sentmt_bos-eng: 65000	 acc: --	 ppl: 18.32	 xent: 2.91	   5.14 TFLOP/s	 11302/11237 tok/s	 33280072 sents	  69451 sec	

sentmt_eng-bos: 500	 acc: --	 ppl: 29.93	 xent: 3.40	   4.62 TFLOP/s	 10137/10201 tok/s	 256072 sents	    541 sec	
sentmt_eng-bos: 1000	 acc: --	 ppl: 27.61	 xent: 3.32	   5.04 TFLOP/s	 11062/11124 tok/s	 512084 sents	   1038 sec	
sentmt_eng-bos: 1500	 acc: --	 ppl: 26.14	 xent: 3.26	   5.05 TFLOP/s	 11088/11162 tok/s	 768092 sents	   1537 sec	
sentmt_eng-bos: 2000	 acc: --	 ppl: 26.28	 xent: 3.27	   4.97 TFLOP/s	 10916/10977 tok/s	 1024116 sents	   2035 sec	
sentmt_eng-bos: 2500	 acc: --	 ppl: 25.46	 xent: 3.24	   5.11 TFLOP/s	 11231/11285 tok/s	 1280052 sents	   2530 sec	
sentmt_eng-bos: 3000	 acc: --	 ppl: 25.72	 xent: 3.25	   3.40 TFLOP/s	 7463/7492 tok/s	 1536072 sents	   3267 sec	
sentmt_eng-bos: 3500	 acc: --	 ppl: 24.65	 xent: 3.20	   5.06 TFLOP/s	 11100/11168 tok/s	 1792092 sents	   3762 sec	
sentmt_eng-bos: 4000	 acc: --	 ppl: 24.59	 xent: 3.20	   5.08 TFLOP/s	 11153/11223 tok/s	 2048084 sents	   4259 sec	
sentmt_eng-bos: 4500	 acc: --	 ppl: 24.47	 xent: 3.20	   5.11 TFLOP/s	 11232/11278 tok/s	 2304072 sents	   4755 sec	
sentmt_eng-bos: 5000	 acc: --	 ppl: 24.47	 xent: 3.20	   5.06 TFLOP/s	 11105/11153 tok/s	 2560092 sents	   5249 sec	
sentmt_eng-bos: 5500	 acc: --	 ppl: 24.26	 xent: 3.19	   3.41 TFLOP/s	 7492/7535 tok/s	 2816124 sents	   5976 sec	
sentmt_eng-bos: 6000	 acc: --	 ppl: 24.07	 xent: 3.18	   5.13 TFLOP/s	 11254/11329 tok/s	 3072032 sents	   6471 sec	
sentmt_eng-bos: 6500	 acc: --	 ppl: 23.78	 xent: 3.17	   5.07 TFLOP/s	 11138/11209 tok/s	 3328092 sents	   6964 sec	
sentmt_eng-bos: 7000	 acc: --	 ppl: 24.26	 xent: 3.19	   5.08 TFLOP/s	 11163/11218 tok/s	 3584064 sents	   7457 sec	
sentmt_eng-bos: 7500	 acc: --	 ppl: 23.53	 xent: 3.16	   5.12 TFLOP/s	 11233/11286 tok/s	 3840072 sents	   7949 sec	
sentmt_eng-bos: 8000	 acc: --	 ppl: 23.82	 xent: 3.17	   3.50 TFLOP/s	 7685/7728 tok/s	 4096116 sents	   8661 sec	
sentmt_eng-bos: 8500	 acc: --	 ppl: 23.91	 xent: 3.17	   5.08 TFLOP/s	 11147/11199 tok/s	 4352052 sents	   9157 sec	
sentmt_eng-bos: 9000	 acc: --	 ppl: 23.75	 xent: 3.17	   5.04 TFLOP/s	 11075/11127 tok/s	 4608104 sents	   9652 sec	
sentmt_eng-bos: 9500	 acc: --	 ppl: 23.39	 xent: 3.15	   5.11 TFLOP/s	 11225/11297 tok/s	 4864048 sents	  10147 sec	
sentmt_eng-bos: 10000	 acc: --	 ppl: 23.81	 xent: 3.17	   5.01 TFLOP/s	 11002/11050 tok/s	 5120100 sents	  10640 sec	
sentmt_eng-bos: 10500	 acc: --	 ppl: 23.66	 xent: 3.16	   3.66 TFLOP/s	 8045/8086 tok/s	 5376040 sents	  11327 sec	
sentmt_eng-bos: 11000	 acc: --	 ppl: 23.20	 xent: 3.14	   5.04 TFLOP/s	 11064/11127 tok/s	 5632072 sents	  11822 sec	
sentmt_eng-bos: 11500	 acc: --	 ppl: 23.61	 xent: 3.16	   5.00 TFLOP/s	 10970/11019 tok/s	 5888104 sents	  12319 sec	
sentmt_eng-bos: 12000	 acc: --	 ppl: 23.38	 xent: 3.15	   5.05 TFLOP/s	 11091/11165 tok/s	 6144096 sents	  12813 sec	
sentmt_eng-bos: 12500	 acc: --	 ppl: 23.17	 xent: 3.14	   5.07 TFLOP/s	 11124/11189 tok/s	 6400080 sents	  13307 sec	
sentmt_eng-bos: 13000	 acc: --	 ppl: 23.36	 xent: 3.15	   3.55 TFLOP/s	 7796/7829 tok/s	 6656096 sents	  14014 sec	
sentmt_eng-bos: 13500	 acc: --	 ppl: 23.37	 xent: 3.15	   5.07 TFLOP/s	 11122/11182 tok/s	 6912072 sents	  14509 sec	
sentmt_eng-bos: 14000	 acc: --	 ppl: 23.13	 xent: 3.14	   5.07 TFLOP/s	 11121/11189 tok/s	 7168072 sents	  15001 sec	
sentmt_eng-bos: 14500	 acc: --	 ppl: 22.87	 xent: 3.13	   5.06 TFLOP/s	 11118/11188 tok/s	 7424104 sents	  15495 sec	
sentmt_eng-bos: 15000	 acc: --	 ppl: 22.45	 xent: 3.11	   5.12 TFLOP/s	 11244/11308 tok/s	 7680104 sents	  15990 sec	
sentmt_eng-bos: 15500	 acc: --	 ppl: 22.80	 xent: 3.13	   3.62 TFLOP/s	 7947/7982 tok/s	 7936100 sents	  16687 sec	
sentmt_eng-bos: 16000	 acc: --	 ppl: 22.74	 xent: 3.12	   5.14 TFLOP/s	 11278/11354 tok/s	 8192052 sents	  17178 sec	
sentmt_eng-bos: 16500	 acc: --	 ppl: 22.86	 xent: 3.13	   5.09 TFLOP/s	 11179/11221 tok/s	 8448072 sents	  17671 sec	
sentmt_eng-bos: 17000	 acc: --	 ppl: 22.87	 xent: 3.13	   5.08 TFLOP/s	 11155/11217 tok/s	 8704084 sents	  18163 sec	
sentmt_eng-bos: 17500	 acc: --	 ppl: 23.11	 xent: 3.14	   5.06 TFLOP/s	 11115/11166 tok/s	 8960084 sents	  18656 sec	
sentmt_eng-bos: 18000	 acc: --	 ppl: 22.78	 xent: 3.13	   3.56 TFLOP/s	 7809/7856 tok/s	 9216112 sents	  19351 sec	
sentmt_eng-bos: 18500	 acc: --	 ppl: 22.69	 xent: 3.12	   5.10 TFLOP/s	 11207/11272 tok/s	 9472060 sents	  19845 sec	
sentmt_eng-bos: 19000	 acc: --	 ppl: 22.74	 xent: 3.12	   5.05 TFLOP/s	 11080/11137 tok/s	 9728104 sents	  20338 sec	
sentmt_eng-bos: 19500	 acc: --	 ppl: 23.22	 xent: 3.15	   5.06 TFLOP/s	 11102/11162 tok/s	 9984072 sents	  20831 sec	
sentmt_eng-bos: 20000	 acc: --	 ppl: 23.02	 xent: 3.14	   5.06 TFLOP/s	 11110/11154 tok/s	 10240084 sents	  21324 sec	
sentmt_eng-bos: 20500	 acc: --	 ppl: 22.44	 xent: 3.11	   3.61 TFLOP/s	 7919/7969 tok/s	 10496092 sents	  22024 sec	
sentmt_eng-bos: 21000	 acc: --	 ppl: 22.31	 xent: 3.11	   5.11 TFLOP/s	 11223/11284 tok/s	 10752084 sents	  22517 sec	
