task_eng-bos: 25500	 acc: --	 ppl:  9.71	 xent: 2.27	  14.45 TFLOP/s	 16105/14027 tok/s	 6901653 sents	  73865 sec	
task_eng-bos: 26000	 acc: --	 ppl:  9.66	 xent: 2.27	  17.62 TFLOP/s	 19634/17096 tok/s	 7036957 sents	  75238 sec	
task_eng-bos: 26500	 acc: --	 ppl:  9.60	 xent: 2.26	  17.58 TFLOP/s	 19587/17059 tok/s	 7171752 sents	  76611 sec	
task_eng-bos: 27000	 acc: --	 ppl:  9.58	 xent: 2.26	  17.39 TFLOP/s	 19377/16880 tok/s	 7305239 sents	  77991 sec	
task_eng-bos: 27500	 acc: --	 ppl:  9.53	 xent: 2.25	  17.66 TFLOP/s	 19700/17112 tok/s	 7441050 sents	  79366 sec	
task_eng-bos: 28000	 acc: --	 ppl:  9.46	 xent: 2.25	  14.37 TFLOP/s	 16001/13943 tok/s	 7576721 sents	  81064 sec	
task_eng-bos: 28500	 acc: --	 ppl:  9.44	 xent: 2.25	  17.60 TFLOP/s	 19608/17087 tok/s	 7712064 sents	  82442 sec	
task_eng-bos: 29000	 acc: --	 ppl:  9.40	 xent: 2.24	  17.17 TFLOP/s	 19119/16669 tok/s	 7844785 sents	  83827 sec	
task_eng-bos: 29500	 acc: --	 ppl:  9.36	 xent: 2.24	  17.87 TFLOP/s	 19907/17337 tok/s	 7982913 sents	  85213 sec	
task_eng-bos: 30000	 acc: --	 ppl:  9.34	 xent: 2.23	  17.30 TFLOP/s	 19282/16793 tok/s	 8116727 sents	  86601 sec	
task_eng-bos: 30500	 acc: --	 ppl:  9.32	 xent: 2.23	  14.45 TFLOP/s	 16111/14013 tok/s	 8253212 sents	  88293 sec	
task_eng-bos: 31000	 acc: --	 ppl:  9.28	 xent: 2.23	  17.64 TFLOP/s	 19665/17114 tok/s	 8388883 sents	  89675 sec	
task_eng-bos: 31500	 acc: --	 ppl:  9.26	 xent: 2.23	  17.62 TFLOP/s	 19634/17095 tok/s	 8524192 sents	  91052 sec	
task_eng-bos: 32000	 acc: --	 ppl:  9.23	 xent: 2.22	  17.59 TFLOP/s	 19607/17065 tok/s	 8659232 sents	  92426 sec	
task_eng-bos: 32500	 acc: --	 ppl:  9.20	 xent: 2.22	  16.85 TFLOP/s	 18795/16346 tok/s	 8795507 sents	  93875 sec	
task_eng-bos: 33000	 acc: --	 ppl:  9.16	 xent: 2.22	  14.24 TFLOP/s	 15871/13809 tok/s	 8930172 sents	  95568 sec	
task_eng-bos: 33500	 acc: --	 ppl:  9.15	 xent: 2.21	  17.71 TFLOP/s	 19751/17176 tok/s	 9066383 sents	  96944 sec	
task_eng-bos: 34000	 acc: --	 ppl:  9.12	 xent: 2.21	  17.68 TFLOP/s	 19697/17153 tok/s	 9201889 sents	  98316 sec	
task_eng-bos: 34500	 acc: --	 ppl:  9.11	 xent: 2.21	  17.83 TFLOP/s	 19865/17305 tok/s	 9338946 sents	  99689 sec	
task_eng-bos: 35000	 acc: --	 ppl:  9.09	 xent: 2.21	  17.73 TFLOP/s	 19743/17220 tok/s	 9474754 sents	 101062 sec	
task_eng-bos: 35500	 acc: --	 ppl:  9.05	 xent: 2.20	  14.19 TFLOP/s	 15810/13768 tok/s	 9608798 sents	 102756 sec	
task_eng-bos: 36000	 acc: --	 ppl:  9.05	 xent: 2.20	  17.47 TFLOP/s	 19478/16953 tok/s	 9743326 sents	 104134 sec	
task_eng-bos: 36500	 acc: --	 ppl:  9.04	 xent: 2.20	  17.64 TFLOP/s	 19662/17114 tok/s	 9878220 sents	 105509 sec	
task_eng-bos: 37000	 acc: --	 ppl:  9.03	 xent: 2.20	  17.66 TFLOP/s	 19678/17142 tok/s	 10014063 sents	 106890 sec	
task_eng-bos: 37500	 acc: --	 ppl:  8.99	 xent: 2.20	  17.58 TFLOP/s	 19584/17053 tok/s	 10148918 sents	 108268 sec	
task_eng-bos: 38000	 acc: --	 ppl:  8.98	 xent: 2.20	  14.38 TFLOP/s	 16017/13962 tok/s	 10284190 sents	 109955 sec	
task_eng-bos: 38500	 acc: --	 ppl:  8.98	 xent: 2.19	  17.56 TFLOP/s	 19557/17048 tok/s	 10419059 sents	 111334 sec	
task_eng-bos: 39000	 acc: --	 ppl:  8.97	 xent: 2.19	  17.51 TFLOP/s	 19525/16988 tok/s	 10553981 sents	 112715 sec	
task_eng-bos: 39500	 acc: --	 ppl:  8.97	 xent: 2.19	  17.69 TFLOP/s	 19714/17164 tok/s	 10690130 sents	 114095 sec	
task_eng-bos: 40000	 acc: --	 ppl:  8.95	 xent: 2.19	  17.39 TFLOP/s	 19375/16878 tok/s	 10823750 sents	 115474 sec	
task_eng-bos: 40500	 acc: --	 ppl:  8.93	 xent: 2.19	  14.58 TFLOP/s	 16247/14148 tok/s	 10962261 sents	 117175 sec	
task_eng-bos: 41000	 acc: --	 ppl:  8.91	 xent: 2.19	  17.58 TFLOP/s	 19587/17068 tok/s	 11096965 sents	 118548 sec	
task_eng-bos: 41500	 acc: --	 ppl:  8.92	 xent: 2.19	  17.47 TFLOP/s	 19469/16952 tok/s	 11230870 sents	 119922 sec	
task_eng-bos: 42000	 acc: --	 ppl:  8.91	 xent: 2.19	  17.53 TFLOP/s	 19540/16999 tok/s	 11366343 sents	 121307 sec	
task_eng-bos: 42500	 acc: --	 ppl:  8.90	 xent: 2.19	  17.36 TFLOP/s	 19338/16848 tok/s	 11498773 sents	 122685 sec	
task_eng-bos: 43000	 acc: --	 ppl:  8.88	 xent: 2.18	  14.21 TFLOP/s	 15825/13798 tok/s	 11632455 sents	 124376 sec	
task_eng-bos: 43500	 acc: --	 ppl:  8.87	 xent: 2.18	  17.53 TFLOP/s	 19537/17012 tok/s	 11766656 sents	 125748 sec	
